epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
130,11159.5,0.427,0.25086,1.06391,0.00719,0.98405,0.99222,0.99381,0.96257,0.27691,0.15505,0.97927,0.00308,0.00342243,0.00342243,0.00342243
131,11245.8,0.42407,0.25051,1.05865,0.0076,0.98447,0.99222,0.99387,0.96026,0.27855,0.15599,0.98331,0.0026,0.00340277,0.00340277,0.00340277
132,11331.5,0.42263,0.24468,1.05876,0.00725,0.98723,0.99222,0.99377,0.95979,0.27361,0.15494,0.97562,0.0025,0.0033831,0.0033831,0.0033831
133,11417.1,0.41862,0.24748,1.06273,0.00663,0.98603,0.99416,0.99388,0.96264,0.27264,0.15167,0.97375,0.00245,0.00336344,0.00336344,0.00336344
134,11503.1,0.42596,0.25255,1.0627,0.00701,0.98538,0.99222,0.9939,0.96151,0.2757,0.15559,0.97453,0.00225,0.00334377,0.00334377,0.00334377
135,11588.8,0.42496,0.25061,1.06807,0.00684,0.98423,0.99222,0.994,0.96139,0.27649,0.15367,0.97482,0.00254,0.00332411,0.00332411,0.00332411
136,11674.9,0.42093,0.2443,1.0576,0.00727,0.98489,0.99319,0.99401,0.96145,0.27499,0.15505,0.97398,0.00269,0.00330444,0.00330444,0.00330444
137,11761.1,0.42111,0.24737,1.06368,0.00722,0.98741,0.9919,0.99431,0.9621,0.27467,0.15341,0.97333,0.00262,0.00328477,0.00328477,0.00328477
138,11846.7,0.42343,0.24436,1.06224,0.00656,0.98775,0.99319,0.99414,0.96142,0.27553,0.15311,0.97978,0.00273,0.00326511,0.00326511,0.00326511
139,11932.4,0.41779,0.24482,1.05304,0.00679,0.98551,0.99242,0.9941,0.96171,0.27642,0.15358,0.98013,0.00243,0.00324544,0.00324544,0.00324544
140,12018.3,0.41556,0.24576,1.05535,0.00676,0.98647,0.99311,0.99388,0.96187,0.27839,0.15465,0.98017,0.00329,0.00322578,0.00322578,0.00322578
141,12103.9,0.41506,0.24285,1.05461,0.00658,0.98685,0.99319,0.99405,0.96182,0.2738,0.15401,0.97099,0.00347,0.00320611,0.00320611,0.00320611
