epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,5612.72,0.30559,0.20986,0.80633,0.99411,0.99925,0.99459,0.88088,0.54548,0.24855,0.82324,0.00034342,0.00034342,0.00034342
148,5650.68,0.30034,0.20493,0.80681,0.99411,0.99923,0.99471,0.88469,0.53144,0.2486,0.82196,0.000341233,0.000341233,0.000341233
149,5688.82,0.3082,0.20535,0.80774,0.99411,0.99951,0.99465,0.87661,0.53232,0.24793,0.82083,0.000339046,0.000339046,0.000339046
150,5726.94,0.29739,0.20576,0.80682,0.99411,0.99925,0.99476,0.8802,0.54783,0.25337,0.82144,0.000336859,0.000336859,0.000336859
151,5764.96,0.29677,0.20456,0.80587,0.99411,0.99901,0.99453,0.87209,0.53876,0.25122,0.82287,0.000334672,0.000334672,0.000334672
152,5803.13,0.30557,0.20996,0.80429,0.99411,0.99895,0.99424,0.8762,0.53505,0.25393,0.8226,0.000332485,0.000332485,0.000332485
153,5841.12,0.30035,0.20254,0.80849,0.99411,0.9994,0.99465,0.88322,0.54195,0.24907,0.8235,0.000330298,0.000330298,0.000330298
154,5878.87,0.29853,0.20251,0.80092,0.99411,0.99945,0.99276,0.87967,0.53601,0.24619,0.82104,0.000328111,0.000328111,0.000328111
155,5916.71,0.29699,0.20575,0.80547,0.99398,1,0.99312,0.87201,0.5451,0.24764,0.82302,0.000325924,0.000325924,0.000325924
156,5955,0.30039,0.20533,0.80261,0.99412,0.99983,0.99453,0.88595,0.53447,0.24455,0.81601,0.000323737,0.000323737,0.000323737
157,5992.86,0.29902,0.20348,0.80336,0.99412,0.9997,0.99453,0.87934,0.538,0.24437,0.81632,0.00032155,0.00032155,0.00032155
158,6031.01,0.28854,0.19956,0.80166,0.99412,0.99969,0.99453,0.87955,0.53607,0.2475,0.81831,0.000319363,0.000319363,0.000319363
159,6068.97,0.30062,0.20279,0.80819,0.99411,0.99921,0.99465,0.88302,0.54466,0.25008,0.82057,0.000317176,0.000317176,0.000317176
160,6106.96,0.30085,0.20437,0.80713,0.994,0.99408,0.99441,0.87936,0.5399,0.24392,0.82038,0.000314989,0.000314989,0.000314989
161,6145.19,0.29272,0.20089,0.80749,0.99411,0.99954,0.99459,0.88358,0.54172,0.24665,0.82286,0.000312802,0.000312802,0.000312802
162,6183.43,0.29252,0.19987,0.80214,0.99412,0.99983,0.99406,0.87779,0.56225,0.25242,0.82574,0.000310615,0.000310615,0.000310615
163,6221.45,0.29375,0.19719,0.80331,0.99364,1,0.99382,0.88108,0.54925,0.24447,0.82443,0.000308428,0.000308428,0.000308428
164,6259.63,0.29217,0.20068,0.80218,0.99307,1,0.99441,0.8813,0.54695,0.24053,0.82414,0.000306241,0.000306241,0.000306241
165,6297.76,0.2986,0.20201,0.80446,0.99306,1,0.99365,0.878,0.54892,0.24355,0.82327,0.000304054,0.000304054,0.000304054
166,6335.94,0.28745,0.19547,0.80187,0.99387,1,0.99429,0.88242,0.5368,0.24732,0.82147,0.000301867,0.000301867,0.000301867
167,6374.25,0.28614,0.19746,0.80511,0.99359,1,0.99465,0.89043,0.54236,0.2449,0.81964,0.00029968,0.00029968,0.00029968
168,6412.63,0.28903,0.19665,0.80669,0.99367,1,0.99447,0.88331,0.53781,0.24211,0.81918,0.000297493,0.000297493,0.000297493
169,6450.71,0.28889,0.197,0.80747,0.99345,1,0.99471,0.88265,0.54933,0.24407,0.82177,0.000295307,0.000295307,0.000295307
170,6488.82,0.292,0.19843,0.80504,0.99372,1,0.99459,0.88034,0.5463,0.24887,0.82279,0.00029312,0.00029312,0.00029312
171,6526.97,0.28912,0.19743,0.80525,0.99374,1,0.99424,0.8849,0.546,0.24363,0.82054,0.000290933,0.000290933,0.000290933
172,6565.07,0.27977,0.1945,0.80349,0.99385,1,0.99441,0.88543,0.54239,0.24494,0.81907,0.000288746,0.000288746,0.000288746
173,6602.77,0.28211,0.19349,0.8013,0.99379,1,0.99435,0.87538,0.54203,0.24007,0.8197,0.000286559,0.000286559,0.000286559
174,6640.88,0.28503,0.196,0.80566,0.99391,1,0.99453,0.87314,0.55391,0.25262,0.82184,0.000284372,0.000284372,0.000284372
175,6678.64,0.28392,0.1971,0.80605,0.99389,1,0.99453,0.88087,0.54584,0.24727,0.81852,0.000282185,0.000282185,0.000282185
176,6716.49,0.2861,0.19688,0.80325,0.99386,1,0.99459,0.87995,0.543,0.24577,0.82043,0.000279998,0.000279998,0.000279998
177,6754.64,0.28674,0.19557,0.80523,0.9938,1,0.99429,0.88286,0.54167,0.24276,0.8201,0.000277811,0.000277811,0.000277811
178,6792.79,0.28262,0.19376,0.80369,0.99394,1,0.99365,0.87293,0.55232,0.24851,0.81899,0.000275624,0.000275624,0.000275624
179,6831.19,0.28462,0.19337,0.80137,0.99369,1,0.99418,0.87591,0.53942,0.25089,0.81918,0.000273437,0.000273437,0.000273437
180,6869.1,0.27719,0.19106,0.80465,0.99402,1,0.99447,0.87648,0.55235,0.24947,0.82504,0.00027125,0.00027125,0.00027125
181,6906.93,0.28074,0.19374,0.80396,0.99412,0.99983,0.99429,0.87855,0.5511,0.24864,0.8233,0.000269063,0.000269063,0.000269063
